,gol,equipo,jugador
"0,""32,0"",Barcelona,Lionel Messi"
"1,""7,0"",Athletic Club,Raúl García"
"2,""14,0"",Rayo Vallecano,Raúl de Tomás Gómez"
"3,""6,0"",Atlético de Madrid,Álvaro Morata"
"4,""17,0"",Barcelona,Luis Suárez"
"5,""8,0"",Valencia CF,Rodrigo Moreno"
"6,""16,0"",Sevilla,Wissam Ben Yedder"
"7,""11,0"",Levante,Roger Martí"
"8,""5,0"",Alavés,Borja González Tomás"
"9,""6,0"",Valencia CF,Kevin Gameiro"
"10,""18,0"",Real Madrid,Karim Benzema"
"11,""8,0"",Villarreal,Gerard Moreno"
"12,""9,0"",Sevilla,André Miguel Valente Silva"
"13,""7,0"",Valencia CF,Santiago Mina Lorenzo"
"14,""3,0"",Eibar,Enrique García Martínez"
"15,""8,0"",Getafe,Ángel Rodríguez"
"16,""14,0"",Espanyol,Borja Iglesias"
"17,""2,0"",Huesca,Juan Camilo Hernández"
"18,""5,0"",Leganés,Guido Carrillo"
